Component ID,Component Name,Layer(s),Priority,Variant,Variant Description,State,State Description,Construct Condition,Figma Frame,Current Headline,Current Subtext,Current CTA Primary,Current CTA Secondary,Error ID,Error Message,Edge Cases / Notes,NEW Headline,NEW Subtext,NEW CTA Primary,NEW CTA Secondary,NEW Error Copy,Designer Notes
C03,Plan Selector,L3,P0,configurator,FLEX: SI buttons + family radio options,default,No selection,"Modular: tier-cards, Flex: configurator, Vanilla: skip","PlanSelector/TierCards, PlanSelector/Configurator",Upgrade your plan,Choose a higher tier,Continue,,E-L3-01 | E-L3-02 | E-L3-03,Please select a plan to continue | Selections exceed wallet balance | Not available for your grade,Modular: Show price delta clearly | Flex: Wallet meter real-time | Downgrade: Warn reduced coverage,,,,,,
C03,Plan Selector,L3,P0,configurator,FLEX: SI buttons + family radio options,selected,User chose a tier/SI,"Modular: tier-cards, Flex: configurator, Vanilla: skip","PlanSelector/TierCards, PlanSelector/Configurator",Upgrade your plan,Choose a higher tier,Continue,,E-L3-01 | E-L3-02 | E-L3-03,Please select a plan to continue | Selections exceed wallet balance | Not available for your grade,Modular: Show price delta clearly | Flex: Wallet meter real-time | Downgrade: Warn reduced coverage,,,,,,
C03,Plan Selector,L3,P0,configurator,FLEX: SI buttons + family radio options,disabled,Grade-restricted,"Modular: tier-cards, Flex: configurator, Vanilla: skip","PlanSelector/TierCards, PlanSelector/Configurator",Upgrade your plan,Choose a higher tier,Continue,,E-L3-01 | E-L3-02 | E-L3-03,Please select a plan to continue | Selections exceed wallet balance | Not available for your grade,Modular: Show price delta clearly | Flex: Wallet meter real-time | Downgrade: Warn reduced coverage,,,,,,
C03,Plan Selector,L3,P0,(content variant),Content for FLEX,-,-,FLEX,"PlanSelector/TierCards, PlanSelector/Configurator",Configure your coverage,Select Sum Insured and family coverage,Continue,,,,Modular: Show price delta clearly | Flex: Wallet meter real-time | Downgrade: Warn reduced coverage,,,,,,
C04,Member Card,"L2, L6",P0,compact,Avatar + name + meta + optional delete,view,Display mode (Self),All constructs,Card/Member,Your covered family members,Review and update if needed,Continue,+ Add family member,,,Flex: Family changes affect wallet,,,,,,
C04,Member Card,"L2, L6",P0,compact,Avatar + name + meta + optional delete,removable,Non-Self members,All constructs,Card/Member,Your covered family members,Review and update if needed,Continue,+ Add family member,,,Flex: Family changes affect wallet,,,,,,
C05,Member Form,L2,P0,add,Expandable form with 4 fields,collapsed,Dashed add button,All constructs,Form/AddMember,,,,,E-L2-01 | E-L2-02 | E-L2-03,Date of birth is required | Maximum dependents reached | Parent age exceeds limit (80 years),Parent age > 80: Block | Max 6 members | Child age > 25: Block,,,,,,
C05,Member Form,L2,P0,add,Expandable form with 4 fields,expanded,Form fields visible,All constructs,Form/AddMember,,,,,E-L2-01 | E-L2-02 | E-L2-03,Date of birth is required | Maximum dependents reached | Parent age exceeds limit (80 years),Parent age > 80: Block | Max 6 members | Child age > 25: Block,,,,,,
C05,Member Form,L2,P0,add,Expandable form with 4 fields,error,Validation failed,All constructs,Form/AddMember,,,,,E-L2-01 | E-L2-02 | E-L2-03,Date of birth is required | Maximum dependents reached | Parent age exceeds limit (80 years),Parent age > 80: Block | Max 6 members | Child age > 25: Block,,,,,,
C06,Premium Calculator,"L3, L4, L5",P0,inline,Compact summary bar,calculated,Showing values,All constructs (varies by layer),"Premium/Inline, Premium/Detailed",Your investment,Review your premium breakdown,Continue to Review,,E-L4-02,Unable to calculate premium,All employer-paid: Skip L5 | Flex wallet overflow: Separate consent | Partial: Show subsidy,,,,,,
C06,Premium Calculator,"L3, L4, L5",P0,inline,Compact summary bar,loading,Calculating,All constructs (varies by layer),"Premium/Inline, Premium/Detailed",Your investment,Review your premium breakdown,Continue to Review,,E-L4-02,Unable to calculate premium,All employer-paid: Skip L5 | Flex wallet overflow: Separate consent | Partial: Show subsidy,,,,,,
C06,Premium Calculator,"L3, L4, L5",P0,inline,Compact summary bar,error,Calc failed,All constructs (varies by layer),"Premium/Inline, Premium/Detailed",Your investment,Review your premium breakdown,Continue to Review,,E-L4-02,Unable to calculate premium,All employer-paid: Skip L5 | Flex wallet overflow: Separate consent | Partial: Show subsidy,,,,,,
C06,Premium Calculator,"L3, L4, L5",P0,detailed,Full breakdown with progress bars,calculated,Showing values,All constructs (varies by layer),"Premium/Inline, Premium/Detailed",Your investment,Review your premium breakdown,Continue to Review,,E-L4-02,Unable to calculate premium,All employer-paid: Skip L5 | Flex wallet overflow: Separate consent | Partial: Show subsidy,,,,,,
C06,Premium Calculator,"L3, L4, L5",P0,detailed,Full breakdown with progress bars,loading,Calculating,All constructs (varies by layer),"Premium/Inline, Premium/Detailed",Your investment,Review your premium breakdown,Continue to Review,,E-L4-02,Unable to calculate premium,All employer-paid: Skip L5 | Flex wallet overflow: Separate consent | Partial: Show subsidy,,,,,,
C06,Premium Calculator,"L3, L4, L5",P0,detailed,Full breakdown with progress bars,error,Calc failed,All constructs (varies by layer),"Premium/Inline, Premium/Detailed",Your investment,Review your premium breakdown,Continue to Review,,E-L4-02,Unable to calculate premium,All employer-paid: Skip L5 | Flex wallet overflow: Separate consent | Partial: Show subsidy,,,,,,
C07,Add-on Card,L4,P1,toggle,"Card with name, description, cost, toggle",available,Can toggle on,When addOns is configured,Card/Addon,Enhance your coverage,Add more protection,Continue,Skip enhancements,E-L4-01,Add-on requires base SI >= 7L,OPD requires SI >= 5L (Flex) | Eligibility depends on base SI,,,,,,
C07,Add-on Card,L4,P1,toggle,"Card with name, description, cost, toggle",selected,Toggled on,When addOns is configured,Card/Addon,Enhance your coverage,Add more protection,Continue,Skip enhancements,E-L4-01,Add-on requires base SI >= 7L,OPD requires SI >= 5L (Flex) | Eligibility depends on base SI,,,,,,
C07,Add-on Card,L4,P1,toggle,"Card with name, description, cost, toggle",disabled,Eligibility failed,When addOns is configured,Card/Addon,Enhance your coverage,Add more protection,Continue,Skip enhancements,E-L4-01,Add-on requires base SI >= 7L,OPD requires SI >= 5L (Flex) | Eligibility depends on base SI,,,,,,
C07,Add-on Card,L4,P1,toggle,"Card with name, description, cost, toggle",popular,With POPULAR badge,When addOns is configured,Card/Addon,Enhance your coverage,Add more protection,Continue,Skip enhancements,E-L4-01,Add-on requires base SI >= 7L,OPD requires SI >= 5L (Flex) | Eligibility depends on base SI,,,,,,
C08,Top-up Card,L4,P1,standard,"Standard top-up (Vanilla, Flex)",available,Toggle OFF,When topUp is configured,Card/TopUp,,,,,,,Consolidated top-up spans base+secondary,,,,,,
C08,Top-up Card,L4,P1,standard,"Standard top-up (Vanilla, Flex)",selected,Toggle ON,When topUp is configured,Card/TopUp,,,,,,,Consolidated top-up spans base+secondary,,,,,,
C08,Top-up Card,L4,P1,modular,Tier-based top-up (Modular),available,Toggle OFF,When topUp is configured,Card/TopUp,,,,,,,Consolidated top-up spans base+secondary,,,,,,
C08,Top-up Card,L4,P1,modular,Tier-based top-up (Modular),selected,Toggle ON,When topUp is configured,Card/TopUp,,,,,,,Consolidated top-up spans base+secondary,,,,,,
C09,Secondary Plan Card,L4,P1,single,One secondary plan option,available,Toggle OFF,When secondary is configured,Card/SecondaryPlan,,,,,,,,,,,,,
C09,Secondary Plan Card,L4,P1,single,One secondary plan option,selected,Toggle ON,When secondary is configured,Card/SecondaryPlan,,,,,,,,,,,,,
C09,Secondary Plan Card,L4,P1,multi-plan,Multiple secondary options,available,Toggle OFF,When secondary is configured,Card/SecondaryPlan,,,,,,,,,,,,,
C09,Secondary Plan Card,L4,P1,multi-plan,Multiple secondary options,selected,Toggle ON,When secondary is configured,Card/SecondaryPlan,,,,,,,,,,,,,
C10,Wallet Display,"L1, L3, L4, L5",P0-FLEX,banner,Full gradient bar with labels,full,Under budget,Flex only,"Wallet/Banner, Wallet/Inline, Wallet/Mini",,,,,E-L3-02 | E-L5-02,Selections exceed wallet balance | Consent for salary deduction required,Flex: Wallet meter real-time | Overflow: separate consent required,,,,,,
C10,Wallet Display,"L1, L3, L4, L5",P0-FLEX,banner,Full gradient bar with labels,partial,Partially used,Flex only,"Wallet/Banner, Wallet/Inline, Wallet/Mini",,,,,E-L3-02 | E-L5-02,Selections exceed wallet balance | Consent for salary deduction required,Flex: Wallet meter real-time | Overflow: separate consent required,,,,,,
C10,Wallet Display,"L1, L3, L4, L5",P0-FLEX,banner,Full gradient bar with labels,exceeded,Over wallet,Flex only,"Wallet/Banner, Wallet/Inline, Wallet/Mini",,,,,E-L3-02 | E-L5-02,Selections exceed wallet balance | Consent for salary deduction required,Flex: Wallet meter real-time | Overflow: separate consent required,,,,,,
C10,Wallet Display,"L1, L3, L4, L5",P0-FLEX,detailed,With breakdown context,full,Under budget,Flex only,"Wallet/Banner, Wallet/Inline, Wallet/Mini",,,,,E-L3-02 | E-L5-02,Selections exceed wallet balance | Consent for salary deduction required,Flex: Wallet meter real-time | Overflow: separate consent required,,,,,,
C10,Wallet Display,"L1, L3, L4, L5",P0-FLEX,detailed,With breakdown context,partial,Partially used,Flex only,"Wallet/Banner, Wallet/Inline, Wallet/Mini",,,,,E-L3-02 | E-L5-02,Selections exceed wallet balance | Consent for salary deduction required,Flex: Wallet meter real-time | Overflow: separate consent required,,,,,,
C10,Wallet Display,"L1, L3, L4, L5",P0-FLEX,detailed,With breakdown context,exceeded,Over wallet,Flex only,"Wallet/Banner, Wallet/Inline, Wallet/Mini",,,,,E-L3-02 | E-L5-02,Selections exceed wallet balance | Consent for salary deduction required,Flex: Wallet meter real-time | Overflow: separate consent required,,,,,,
C10,Wallet Display,"L1, L3, L4, L5",P0-FLEX,inline,Compact bar + remaining text,full,Under budget,Flex only,"Wallet/Banner, Wallet/Inline, Wallet/Mini",,,,,E-L3-02 | E-L5-02,Selections exceed wallet balance | Consent for salary deduction required,Flex: Wallet meter real-time | Overflow: separate consent required,,,,,,
C10,Wallet Display,"L1, L3, L4, L5",P0-FLEX,inline,Compact bar + remaining text,partial,Partially used,Flex only,"Wallet/Banner, Wallet/Inline, Wallet/Mini",,,,,E-L3-02 | E-L5-02,Selections exceed wallet balance | Consent for salary deduction required,Flex: Wallet meter real-time | Overflow: separate consent required,,,,,,
C10,Wallet Display,"L1, L3, L4, L5",P0-FLEX,inline,Compact bar + remaining text,exceeded,Over wallet,Flex only,"Wallet/Banner, Wallet/Inline, Wallet/Mini",,,,,E-L3-02 | E-L5-02,Selections exceed wallet balance | Consent for salary deduction required,Flex: Wallet meter real-time | Overflow: separate consent required,,,,,,
C10,Wallet Display,"L1, L3, L4, L5",P0-FLEX,mini,Thin progress bar only,full,Under budget,Flex only,"Wallet/Banner, Wallet/Inline, Wallet/Mini",,,,,E-L3-02 | E-L5-02,Selections exceed wallet balance | Consent for salary deduction required,Flex: Wallet meter real-time | Overflow: separate consent required,,,,,,
C10,Wallet Display,"L1, L3, L4, L5",P0-FLEX,mini,Thin progress bar only,partial,Partially used,Flex only,"Wallet/Banner, Wallet/Inline, Wallet/Mini",,,,,E-L3-02 | E-L5-02,Selections exceed wallet balance | Consent for salary deduction required,Flex: Wallet meter real-time | Overflow: separate consent required,,,,,,
C10,Wallet Display,"L1, L3, L4, L5",P0-FLEX,mini,Thin progress bar only,exceeded,Over wallet,Flex only,"Wallet/Banner, Wallet/Inline, Wallet/Mini",,,,,E-L3-02 | E-L5-02,Selections exceed wallet balance | Consent for salary deduction required,Flex: Wallet meter real-time | Overflow: separate consent required,,,,,,
C11,Consent Checkbox,L6,P0,standard,Terms and conditions,unchecked,Not checked,Standard: all. Salary: employee pays. Wallet: Flex overflow,Checkbox/Consent,Review and confirm,Check your selections before submitting,Confirm Enrollment,Edit selections,E-L6-01,Accept terms to proceed,Pre-enrollment: Submit Preferences CTA,,,,,,
C11,Consent Checkbox,L6,P0,standard,Terms and conditions,checked,Checked,Standard: all. Salary: employee pays. Wallet: Flex overflow,Checkbox/Consent,Review and confirm,Check your selections before submitting,Confirm Enrollment,Edit selections,E-L6-01,Accept terms to proceed,Pre-enrollment: Submit Preferences CTA,,,,,,
C11,Consent Checkbox,L6,P0,standard,Terms and conditions,error,Required but unchecked,Standard: all. Salary: employee pays. Wallet: Flex overflow,Checkbox/Consent,Review and confirm,Check your selections before submitting,Confirm Enrollment,Edit selections,E-L6-01,Accept terms to proceed,Pre-enrollment: Submit Preferences CTA,,,,,,
C11,Consent Checkbox,L6,P0,salary-deduction,Salary deduction consent,unchecked,Not checked,Standard: all. Salary: employee pays. Wallet: Flex overflow,Checkbox/Consent,Review and confirm,Check your selections before submitting,Confirm Enrollment,Edit selections,E-L6-01,Accept terms to proceed,Pre-enrollment: Submit Preferences CTA,,,,,,
C11,Consent Checkbox,L6,P0,salary-deduction,Salary deduction consent,checked,Checked,Standard: all. Salary: employee pays. Wallet: Flex overflow,Checkbox/Consent,Review and confirm,Check your selections before submitting,Confirm Enrollment,Edit selections,E-L6-01,Accept terms to proceed,Pre-enrollment: Submit Preferences CTA,,,,,,
C11,Consent Checkbox,L6,P0,salary-deduction,Salary deduction consent,error,Required but unchecked,Standard: all. Salary: employee pays. Wallet: Flex overflow,Checkbox/Consent,Review and confirm,Check your selections before submitting,Confirm Enrollment,Edit selections,E-L6-01,Accept terms to proceed,Pre-enrollment: Submit Preferences CTA,,,,,,
C11,Consent Checkbox,L6,P0,wallet-overflow,Wallet overflow acknowledgment,unchecked,Not checked,Standard: all. Salary: employee pays. Wallet: Flex overflow,Checkbox/Consent,Review and confirm,Check your selections before submitting,Confirm Enrollment,Edit selections,E-L6-01,Accept terms to proceed,Pre-enrollment: Submit Preferences CTA,,,,,,
C11,Consent Checkbox,L6,P0,wallet-overflow,Wallet overflow acknowledgment,checked,Checked,Standard: all. Salary: employee pays. Wallet: Flex overflow,Checkbox/Consent,Review and confirm,Check your selections before submitting,Confirm Enrollment,Edit selections,E-L6-01,Accept terms to proceed,Pre-enrollment: Submit Preferences CTA,,,,,,
C11,Consent Checkbox,L6,P0,wallet-overflow,Wallet overflow acknowledgment,error,Required but unchecked,Standard: all. Salary: employee pays. Wallet: Flex overflow,Checkbox/Consent,Review and confirm,Check your selections before submitting,Confirm Enrollment,Edit selections,E-L6-01,Accept terms to proceed,Pre-enrollment: Submit Preferences CTA,,,,,,
C12,Review Summary,L6,P0,detailed,Multiple section cards with Edit links,editable,Edit links visible per section,All constructs,Card/ReviewSummary,,,,,,,Enhancements card hidden if none selected | Investment card hidden if all employer-paid,,,,,,
C13,Success Screen,POST,P0,confirmed,E-card ready,success,Green icon + e-card,All constructs,Screen/Success,,,,,E-L6-02,Unable to submit. Please retry.,Pre-enrollment: Preferences Submitted | Min participation: pending warning,,,,,,
C13,Success Screen,POST,P0,confirmed,E-card ready,pending,Info message / no e-card,All constructs,Screen/Success,,,,,E-L6-02,Unable to submit. Please retry.,Pre-enrollment: Preferences Submitted | Min participation: pending warning,,,,,,
C13,Success Screen,POST,P0,pending-mp,Min participation pending,success,Green icon + e-card,All constructs,Screen/Success,,,,,E-L6-02,Unable to submit. Please retry.,Pre-enrollment: Preferences Submitted | Min participation: pending warning,,,,,,
C13,Success Screen,POST,P0,pending-mp,Min participation pending,pending,Info message / no e-card,All constructs,Screen/Success,,,,,E-L6-02,Unable to submit. Please retry.,Pre-enrollment: Preferences Submitted | Min participation: pending warning,,,,,,
C13,Success Screen,POST,P0,pending-cd,CD check in progress,success,Green icon + e-card,All constructs,Screen/Success,,,,,E-L6-02,Unable to submit. Please retry.,Pre-enrollment: Preferences Submitted | Min participation: pending warning,,,,,,
C13,Success Screen,POST,P0,pending-cd,CD check in progress,pending,Info message / no e-card,All constructs,Screen/Success,,,,,E-L6-02,Unable to submit. Please retry.,Pre-enrollment: Preferences Submitted | Min participation: pending warning,,,,,,
C13,Success Screen,POST,P0,preferences,Pre-enrollment submitted,success,Green icon + e-card,All constructs,Screen/Success,,,,,E-L6-02,Unable to submit. Please retry.,Pre-enrollment: Preferences Submitted | Min participation: pending warning,,,,,,
C13,Success Screen,POST,P0,preferences,Pre-enrollment submitted,pending,Info message / no e-card,All constructs,Screen/Success,,,,,E-L6-02,Unable to submit. Please retry.,Pre-enrollment: Preferences Submitted | Min participation: pending warning,,,,,,
C14,Tooltip/Info,ALL,P1,popover,Small overlay with explanation,closed,Hidden,All constructs,Tooltip/Popover,,,,,,,,,,,,,
C14,Tooltip/Info,ALL,P1,popover,Small overlay with explanation,open,Visible popover,All constructs,Tooltip/Popover,,,,,,,,,,,,,
C15,Error Message,ALL,P0,inline,Within content flow,hidden,No errors,All constructs,Message/Error,,,,,,,,,,,,,
C15,Error Message,ALL,P0,inline,Within content flow,visible,Error shown,All constructs,Message/Error,,,,,,,,,,,,,
C15,Error Message,ALL,P0,banner,Full-width alert,hidden,No errors,All constructs,Message/Error,,,,,,,,,,,,,
C15,Error Message,ALL,P0,banner,Full-width alert,visible,Error shown,All constructs,Message/Error,,,,,,,,,,,,,
C16,Loading State,ALL,P1,skeleton,Shimmer blocks matching content,loading,Animated,All constructs,State/Loading,,,,,,,,,,,,,
C16,Loading State,ALL,P1,spinner,Circular loading indicator,loading,Animated,All constructs,State/Loading,,,,,,,,,,,,,
C17,Comparison Table,"L3, L4",P1,side-by-side,3-column tier comparison,interactive,Selectable columns,Modular only,Table/Comparison,,,,,,,,,,,,,
